t_date,meter_id,t_time,pay_type,duration
238,1,14,A,75
232,1,12,A,135
252,1,18,A,165
3,1,12,CC,15
150,1,18,A,75
287,1,17,C,45
59,1,9,C,15
44,1,15,A,165
216,1,12,C,45
326,1,14,C,75
345,1,18,C,45
4,1,9,A,135
260,1,10,C,105
322,1,17,CC,195
363,1,12,A,195
67,1,17,CC,15
15,1,16,C,165
336,1,18,CC,165
158,1,12,A,165
349,1,15,A,225
244,1,10,C,135
240,1,9,A,45
170,1,13,A,105
151,1,9,C,105
23,1,9,CC,135
321,1,10,C,195
328,1,16,C,225
265,1,16,A,105
56,1,18,C,15
11,1,11,C,75
55,1,18,C,165
175,1,12,A,225
4,1,14,C,15
115,1,9,CC,75
205,1,12,CC,75
214,1,9,CC,165
148,1,11,CC,105
260,1,9,A,135
127,1,10,C,165
106,1,15,A,165
63,1,12,A,225
216,1,17,C,105
163,1,12,C,225
226,1,10,C,225
56,1,17,A,165
49,1,15,A,105
307,1,13,C,195
3,1,9,C,15
196,1,16,A,135
88,1,9,C,225
342,1,13,A,195
147,1,11,A,165
211,1,11,A,75
128,1,12,CC,165
129,1,9,C,45
24,1,18,CC,105
120,1,12,A,15
8,1,17,C,45
90,1,10,CC,195
249,1,17,C,195
363,1,10,C,105
142,1,14,CC,105
225,1,10,A,225
119,1,14,C,105
364,1,9,A,165
203,1,15,CC,135
105,1,10,A,195
283,1,18,A,225
104,1,9,CC,225
86,1,17,A,135
288,1,16,CC,135
290,1,11,CC,15
133,1,14,CC,105
343,1,14,C,135
256,1,17,C,105
272,1,10,A,45
90,1,12,CC,15
77,1,15,A,195
337,1,11,CC,75
353,1,16,CC,15
288,1,12,CC,75
329,1,12,C,135
272,1,18,CC,105
63,1,17,C,75
325,1,9,CC,195
211,1,17,C,105
172,1,13,CC,195
301,1,12,C,105
151,1,13,A,165
344,1,16,C,165
164,1,14,C,105
269,1,9,C,45
27,1,13,CC,165
135,1,11,C,195
37,1,11,A,105
332,1,12,A,195
249,1,18,CC,15
135,1,12,A,105
161,1,9,C,225
364,1,11,A,195
140,1,16,C,105
69,1,17,C,195
3,1,13,A,15
239,1,11,CC,135
97,1,17,CC,135
105,1,16,C,135
95,1,10,C,135
22,1,16,CC,45
325,1,11,A,165
56,1,16,C,165
41,1,11,A,15
69,1,12,A,45
259,1,9,C,165
4,1,15,A,105
111,1,11,CC,195
43,1,15,A,105
309,1,10,A,135
79,1,15,CC,225
71,1,11,CC,45
254,1,13,C,15
36,1,12,CC,105
203,1,17,A,45
3,1,16,CC,165
175,1,12,A,135
204,1,9,C,15
139,1,13,C,75
190,1,18,A,15
211,1,10,A,135
340,1,17,A,135
246,1,11,C,105
27,1,18,A,45
220,1,12,C,45
233,1,15,C,15
261,1,12,A,195
149,1,11,A,165
280,1,12,C,195
226,1,10,CC,135
107,1,18,CC,225
296,1,10,CC,105
356,1,9,C,165
233,1,16,CC,195
169,1,16,CC,135
183,1,9,CC,195
146,1,14,CC,135
186,1,15,A,45
296,1,16,A,45
153,1,18,A,105
31,1,13,A,45
286,1,18,C,45
242,1,17,C,75
106,1,18,A,45
195,1,15,C,195
360,1,14,CC,225
57,1,10,C,45
32,1,10,A,135
129,1,13,A,45
311,1,10,CC,105
307,1,16,A,165
149,1,9,A,15
91,1,13,A,45
127,1,17,C,225
55,1,15,CC,15
163,1,9,A,165
70,1,14,CC,45
347,1,13,CC,45
267,1,9,CC,135
303,1,16,CC,135
114,1,12,C,45
188,1,12,A,105
114,1,10,CC,135
122,1,16,A,75
133,1,11,CC,105
321,1,15,CC,195
205,1,14,A,105
157,1,18,CC,225
283,1,13,CC,135
31,1,11,C,45
289,1,12,C,105
284,1,18,A,225
114,1,12,C,225
308,1,11,CC,75
30,1,11,A,135
277,1,10,C,75
142,1,14,A,225
100,1,17,C,45
31,1,15,CC,15
134,1,10,C,105
37,1,12,CC,225
88,1,15,C,45
6,1,17,C,225
217,1,12,A,225
127,1,10,A,15
70,1,18,A,195
361,1,9,CC,165
147,1,12,CC,75
185,1,11,CC,225
116,1,16,A,15
204,1,17,A,135
284,1,9,C,135
282,1,18,A,195
10,1,13,CC,195
18,1,9,CC,165
46,1,14,C,225
32,1,9,C,135
360,1,13,C,105
125,1,11,CC,105
147,1,14,A,105
109,1,11,A,105
80,1,16,CC,225
181,1,12,CC,75
171,1,9,A,75
204,1,18,C,225
93,1,13,C,75
196,1,17,CC,195
36,1,15,CC,105
71,1,12,C,195
55,1,11,CC,165
0,1,11,CC,225
354,1,14,A,135
267,1,12,A,165
214,1,17,C,195
209,1,9,CC,75
204,1,15,CC,105
308,1,11,CC,135
43,1,12,CC,105
311,1,14,C,75
66,1,14,A,195
316,1,12,A,105
234,1,12,A,15
225,1,16,CC,105
139,1,16,C,135
93,1,18,A,195
76,1,17,C,45
234,1,14,C,165
10,1,10,A,195
270,1,15,CC,165
88,1,15,CC,225
51,1,11,C,45
321,1,15,CC,165
326,1,18,C,15
259,1,17,CC,225
246,1,16,CC,45
115,1,13,CC,105
87,1,12,A,165
127,1,15,CC,15
115,1,11,A,135
0,1,16,C,45
241,1,14,C,15
213,1,14,A,15
104,1,9,CC,225
161,1,17,A,105
262,1,12,A,135
330,1,13,A,15
58,1,12,CC,45
55,1,11,C,75
164,1,12,C,195
134,1,11,C,165
290,1,16,CC,75
20,1,18,CC,135
240,1,15,CC,45
135,1,14,C,15
44,1,10,CC,135
244,1,16,CC,45
97,1,13,CC,135
11,1,12,C,15
238,1,15,CC,225
185,1,12,A,45
224,1,15,CC,105
30,1,12,CC,225
10,1,18,C,105
315,1,14,C,15
242,1,13,C,105
56,1,12,CC,15
346,1,10,A,225
140,1,12,A,195
332,1,18,A,75
309,1,12,A,135
296,1,13,CC,75
108,1,12,A,15
52,1,15,A,75
168,1,12,CC,45
22,1,17,C,195
301,1,15,C,105
42,1,15,C,135
265,1,17,CC,75
21,1,10,C,135
116,1,17,C,75
32,1,14,CC,135
41,1,18,A,105
163,1,12,CC,75
342,1,13,CC,15
340,1,12,A,165
302,1,11,C,135
62,1,13,A,15
123,1,15,C,15
130,1,11,A,45
198,1,11,CC,225
333,1,15,CC,135
267,1,18,C,15
97,1,16,CC,195
315,1,17,A,195
298,1,10,A,45
221,1,16,C,105
72,1,17,C,75
165,1,9,CC,165
123,1,14,C,165
7,1,14,A,75
51,1,13,A,45
203,1,16,CC,15
303,1,15,CC,135
310,1,18,A,105
99,1,15,CC,195
32,1,11,C,105
266,1,15,C,45
135,1,10,C,105
162,1,10,C,45
284,1,17,CC,15
202,1,10,CC,225
225,1,9,C,225
